record_id,source_id,timestamp,title,uri,markdown_path
s01-substack-r000081,156605850,2025-02-06T15:38:46.794Z,"An Open Letter to my Past, Warning of the Storms to Come ",https://engineeringgenerosity.substack.com/p/an-open-letter-to-my-past-warning,posts/2025-02-06-an-open-letter-to-my-past-warning.md
s01-substack-r000082,158367334,2025-03-04T15:10:16.015Z,Tiny Experiments in Generosity,https://engineeringgenerosity.substack.com/p/tiny-experiments-in-generosity,posts/2025-03-04-tiny-experiments-in-generosity.md
s01-substack-r000083,160185798,2025-04-02T00:04:15.999Z,Engineering Friendship,https://engineeringgenerosity.substack.com/p/engineering-friendship,posts/2025-04-02-engineering-friendship.md
s01-substack-r000084,165222316,2025-06-04T20:48:02.514Z,I figured out how to engineer generosity,https://engineeringgenerosity.substack.com/p/i-figured-out-how-to-engineer-generosity,posts/2025-06-04-i-figured-out-how-to-engineer-generosity.md
s01-substack-r000085,165591932,2025-06-10T03:40:06.729Z,Welcome to the Singularity,https://engineeringgenerosity.substack.com/p/welcome-to-the-singularity,posts/2025-06-10-welcome-to-the-singularity.md
s01-substack-r000086,166998110,2025-06-27T19:28:08.202Z,What if we built an internet where we didn't need to cheat?,https://engineeringgenerosity.substack.com/p/what-if-we-built-an-internet-where,posts/2025-06-27-what-if-we-built-an-internet-where.md
s01-substack-r000087,166984102,2025-07-01T19:57:31.968Z,July 4 is when we celebrate our Temporal Independence,https://engineeringgenerosity.substack.com/p/july-4-is-when-we-celebrate-our-temporal,posts/2025-07-01-july-4-is-when-we-celebrate-our-temporal.md
s01-substack-r000088,168286754,2025-07-26T13:56:23.219Z,What I Learned From Spending 4 Days In the Woods With A Bunch of Internet Weirdos,https://engineeringgenerosity.substack.com/p/what-i-learned-from-spending-4-days,posts/2025-07-26-what-i-learned-from-spending-4-days.md
s01-substack-r000089,170218189,2025-08-06T13:10:43.947Z,Hitting Reset on Life,https://engineeringgenerosity.substack.com/p/hitting-reset-on-life,posts/2025-08-06-hitting-reset-on-life.md
s01-substack-r000090,170883601,2025-08-13T14:53:26.758Z,A Week After Clarity? Uncertainty.,https://engineeringgenerosity.substack.com/p/a-week-after-clarity-uncertainty,posts/2025-08-13-a-week-after-clarity-uncertainty.md
s01-substack-r000091,173305521,2025-09-10T23:19:53.089Z,"Today, We Have a Choice: Love or Hate",https://engineeringgenerosity.substack.com/p/today-we-have-a-choice-love-or-hate,posts/2025-09-10-today-we-have-a-choice-love-or-hate.md
s01-substack-r000092,175058719,2025-10-01T21:08:45.135Z,What it feels like to be poor,https://engineeringgenerosity.substack.com/p/what-it-feels-like-to-be-poor,posts/2025-10-01-what-it-feels-like-to-be-poor.md
s01-substack-r000093,175614458,2025-10-08T12:24:52.604Z,What It Feels Like To Be Rich,https://engineeringgenerosity.substack.com/p/what-it-feels-like-to-be-rich,posts/2025-10-08-what-it-feels-like-to-be-rich.md
s01-substack-r000094,175791018,2025-10-10T11:55:20.899Z,What does it take to build trust?,https://engineeringgenerosity.substack.com/p/what-does-it-take-to-build-trust,posts/2025-10-10-what-does-it-take-to-build-trust.md
s01-substack-r000095,177363448,2025-10-28T12:38:59.135Z,What Happens When A Country Starves?,https://engineeringgenerosity.substack.com/p/what-happens-when-a-country-starves,posts/2025-10-28-what-happens-when-a-country-starves.md
s01-substack-r000096,178923004,2025-11-14T20:09:05.737Z,❤️ THE LOVE MANIFESTO,https://engineeringgenerosity.substack.com/p/the-love-manifesto,posts/2025-11-14-the-love-manifesto.md
s01-substack-r000097,179138435,2025-11-17T13:13:48.110Z,The Bill that Didn't Break The Camel's Back,https://engineeringgenerosity.substack.com/p/the-bill-that-didnt-break-the-camels,posts/2025-11-17-the-bill-that-didnt-break-the-camels.md
